commonName,catalog.shortName,GPS,mass_1_source,mass_2_source,total_mass_source,final_mass_source,radiated_energy,network_matched_filter_snr,luminosity_distance,chi_eff,chirp_mass_source,redshift,p_astro
GW190910_112807,GWTC-2.1-confident,1252150105.3,43.8,34.2,78.0,74.4,3.5999999999999943,14.5,1520.0,0.0,33.5,0.29,0.99669
GW190915_235702,GWTC-2.1-confident,1252627040.6,32.6,24.5,57.1,54.7,2.3999999999999986,13.1,1750.0,-0.03,24.4,0.32,1.0
GW190924_021846,GWTC-2.1-confident,1253326744.8,8.8,5.1,13.9,13.3,0.5999999999999996,12.0,550.0,0.03,5.8,0.11,1.0
GW190925_232845,GWTC-2.1-confident,1253489343.1,20.8,15.5,36.3,34.9,1.3999999999999986,9.7,930.0,0.09,15.6,0.19,0.98849
GW190929_012149,GWTC-2.1-confident,1253755327.4,66.3,26.8,93.1,90.3,2.799999999999997,9.7,3130.0,-0.03,35.6,0.53,0.87042
GW190930_133541,GWTC-2.1-confident,1253885759.2,14.2,6.9,21.1,20.2,0.9000000000000021,9.7,770.0,0.19,8.5,0.16,0.99785
GW191103_012549,GWTC-3-confident,1256779567.5,11.8,7.9,19.700000000000003,19.0,0.7000000000000028,8.9,990.0,0.21,8.34,0.2,0.94318
GW191105_143521,GWTC-3-confident,1256999739.9,10.7,7.7,18.4,17.6,0.7999999999999972,9.7,1150.0,-0.02,7.82,0.23,0.99
GW191109_010717,GWTC-3-confident,1257296855.2,65.0,47.0,112.0,107.0,5.0,17.3,1290.0,-0.29,47.5,0.25,0.99
GW191129_134029,GWTC-3-confident,1259070047.1,10.7,6.7,17.4,16.8,0.5999999999999979,13.1,790.0,0.06,7.31,0.16,0.99
GW191204_171526,GWTC-3-confident,1259514944.0,11.9,8.2,20.1,19.21,0.8900000000000006,17.5,650.0,0.16,8.55,0.13,0.99
GW191215_223052,GWTC-3-confident,1260484270.3,24.9,18.1,43.0,41.4,1.6000000000000014,11.2,1930.0,-0.04,18.4,0.35,0.99
GW191216_213338,GWTC-3-confident,1260567236.4,12.1,7.7,19.8,18.87,0.9299999999999997,18.6,340.0,0.11,8.33,0.07,0.99
GW191222_033537,GWTC-3-confident,1261020955.1,45.1,34.7,79.80000000000001,75.5,4.300000000000011,12.5,3000.0,-0.04,33.8,0.51,0.99
GW191230_180458,GWTC-3-confident,1261764316.4,49.4,37.0,86.4,82.0,4.400000000000006,10.4,4300.0,-0.05,36.5,0.69,0.96159
GW200112_155838,GWTC-3-confident,1262879936.0,35.6,28.3,63.900000000000006,60.8,3.1000000000000085,19.8,1250.0,0.06,27.4,0.24,0.99
GW200128_022011,GWTC-3-confident,1264213229.9,42.2,32.6,74.80000000000001,71.0,3.8000000000000114,10.6,3400.0,0.12,32.0,0.56,0.99
GW200129_065458,GWTC-3-confident,1264316116.4,34.5,28.9,63.4,60.3,3.1000000000000014,26.8,900.0,0.11,27.2,0.18,0.99
GW200202_154313,GWTC-3-confident,1264693411.5,10.1,7.3,17.4,16.76,0.639999999999997,10.8,410.0,0.04,7.49,0.09,0.99
GW200208_130117,GWTC-3-confident,1265202095.9,37.8,27.4,65.19999999999999,62.5,2.6999999999999886,10.8,2230.0,-0.07,27.7,0.4,0.99
GW200209_085452,GWTC-3-confident,1265273710.1,35.6,27.1,62.7,59.9,2.8000000000000043,9.6,3400.0,-0.12,26.7,0.57,0.97236
GW200219_094415,GWTC-3-confident,1266140673.1,37.5,27.9,65.4,62.2,3.200000000000003,10.7,3400.0,-0.08,27.6,0.57,0.99
GW200220_124850,GWTC-3-confident,1266238148.1,38.9,27.9,66.8,64.0,2.799999999999997,8.5,4000.0,-0.07,28.2,0.66,0.82579
GW200224_222234,GWTC-3-confident,1266618172.4,40.0,32.5,72.5,68.6,3.9000000000000057,20.0,1710.0,0.1,31.1,0.32,0.99
GW200225_060421,GWTC-3-confident,1266645879.3,19.3,14.0,33.3,32.1,1.1999999999999957,12.5,1150.0,-0.12,14.2,0.22,0.99
GW200302_015811,GWTC-3-confident,1267149509.5,37.8,20.0,57.8,55.5,2.299999999999997,10.8,1480.0,0.01,23.4,0.28,0.90643
GW200306_093714,GWTC-3-confident,1267522652.1,28.3,14.8,43.1,41.7,1.3999999999999986,7.8,2100.0,0.32,17.5,0.38,0.81156
GW200308_173609,GWTC-3-confident,1267724187.7,36.4,13.8,50.2,47.4,2.8000000000000043,7.1,5400.0,0.65,19.0,0.83,0.8566
GW200311_115853,GWTC-3-confident,1267963151.3,34.2,27.7,61.900000000000006,59.0,2.9000000000000057,17.8,1170.0,-0.02,26.6,0.23,0.99
GW200316_215756,GWTC-3-confident,1268431094.1,13.1,7.8,20.9,20.2,0.6999999999999993,10.3,1120.0,0.13,8.75,0.22,0.99
